,用户编号,公会编号,公会名,是不是会长,算力
202,239617842465734656,239557784142873856,BHEX Vietnam,0,5.0
203,241847969933164544,239645778283595008,otokogumi-bhex,0,5.0
204,234669484907167744,234672157173744896,BHEX大牛,1,13.0
205,218508518523928576,234463534816429312,金金土,1,5.0
206,239640578688811008,239557784142873856,BHEX Vietnam,0,5.0
207,240300198231015424,236067888744891648,BHEXVietnam,0,5.0
208,217351077467783168,233685142751937792,麒麟社,0,36.0
209,240239515267235840,239557784142873856,BHEX Vietnam,0,5.0
210,242393799450689536,242392198543574272,LEX,0,5.0
211,241861580860686336,241871349310817536,hidekishon,1,5.0
212,240188489705193472,239557784142873856,BHEX Vietnam,0,5.0
213,240307645821747200,239557784142873856,BHEX Vietnam,0,5.0
214,242375282059902976,242392198543574272,LEX,1,5.0
215,239108088198856704,236067888744891648,BHEXVietnam,0,5.0
216,239645424510828544,239557784142873856,BHEX Vietnam,0,5.0
217,241666423997595648,244644756544816384,牛眼,1,5.0
218,239518844987899904,236067888744891648,BHEXVietnam,0,5.0
219,240140798782603264,239557784142873856,BHEX Vietnam,0,5.0
220,239587833680232448,239557784142873856,BHEX Vietnam,0,5.0
221,242028066015281152,236067888744891648,BHEXVietnam,0,5.0
222,240930313394716672,233828205151388928,嘿嘿嘿,0,5.0
223,239841384658632704,239557784142873856,BHEX Vietnam,0,5.0
224,240505165738934272,236067888744891648,BHEXVietnam,0,5.0
225,239580694983213056,239557784142873856,BHEX Vietnam,0,5.0
226,242642196896153600,239645778283595008,otokogumi-bhex,0,5.0
227,241926044284878848,239645778283595008,otokogumi-bhex,0,5.0
228,239166849902968832,235350196253623552,币核核心,0,5.0
229,239621953865121792,239557784142873856,BHEX Vietnam,0,5.0
230,235432415198445568,233828205151388928,嘿嘿嘿,0,6.0
231,241917101080838144,241907791537898752,cocolonotomo Guild,0,5.0
232,239693881825034240,236067888744891648,BHEXVietnam,0,5.0
233,239821541104418816,239557784142873856,BHEX Vietnam,0,5.0
234,241144285687447552,239557784142873856,BHEX Vietnam,0,5.0
235,239472169749577728,236067888744891648,BHEXVietnam,0,5.0
236,235863705689260032,236056741098554624,百币堂,1,5.0
237,241896443865202688,241902555024852224,Polarizing,1,5.0
238,241003816005402624,233828205151388928,嘿嘿嘿,0,5.0
239,239202195898368000,239205689485165824,Duc,1,5.0
240,239707331196354560,236067888744891648,BHEXVietnam,0,5.0
241,239650798924201984,239557784142873856,BHEX Vietnam,0,5.0
242,236747862866919424,236729913284232448,mm guild,0,6.0
243,241989051069235200,239645778283595008,otokogumi-bhex,0,138.0
244,239699083911233536,239557784142873856,BHEX Vietnam,0,5.0
245,242042930016288768,241907791537898752,cocolonotomo Guild,0,5.0
246,238065471759581184,237661061531305216,南宫远,0,5.0
247,242581945333317632,239645778283595008,otokogumi-bhex,0,5.0
248,243443412400078848,240373972909425920,彦杰瑞业创投,0,5.0
249,240995008126386176,240995795103646976,tc285582,1,5.0
250,240905651717668864,239557784142873856,BHEX Vietnam,0,5.0
251,243985600338984960,240373972909425920,彦杰瑞业创投,0,5.0
252,244091877803163648,233685142751937792,麒麟社,0,5.0
253,244129639466008576,243841804649366784,将夜,0,5.0
254,244090260831862784,244092046087030016,未来有你,1,5.0
255,239650523928854528,239557784142873856,BHEX Vietnam,0,5.0
256,244181439439175680,244020274868258048,币核之光,0,5.0
257,244092518709592064,244103179665671424,大路节点,1,585.0
258,240630419861798912,239557784142873856,BHEX Vietnam,0,5.0
259,243966879348293632,243947171781805312,熊市抱团取暖,0,7.0
260,244191770697793536,244020274868258048,币核之光,0,5.0
261,241992531192315904,239557784142873856,BHEX Vietnam,0,5.0
262,244195767693344768,244020274868258048,币核之光,0,5.0
263,244211384286707712,244216404138788096,后宫三千佳丽,1,5.0
264,244195640983420928,244020274868258048,币核之光,0,5.0
265,244213222339772416,244208163958818048,熊猫军团,0,5.0
266,244208700502573056,244201533192013056,达摩院,0,5.0
267,244207644267773952,244208163958818048,熊猫军团,1,5.0
268,244206148755128320,244201533192013056,达摩院,0,5.0
269,244220113035984896,244020274868258048,币核之光,0,5.0
270,243888587781963776,236773033732474112,To Da Moon,0,5.0
271,244213809349394432,244208163958818048,熊猫军团,0,5.0
272,244668831078023168,244224570247349504,恒隆广场,0,5.0
273,244208293789302784,244201533192013056,达摩院,0,5.0
274,244201781696135168,244020274868258048,币核之光,0,5.0
275,244225971992133632,244208163958818048,熊猫军团,0,5.0
276,244212205103611904,244201533192013056,达摩院,0,5.0
277,244505881662980096,244208163958818048,熊猫军团,0,5.0
278,244218230372302848,244020274868258048,币核之光,0,5.0
279,244219797993422848,244020274868258048,币核之光,0,5.0
280,244483251673235456,244201533192013056,达摩院,0,5.0
281,244572479803359232,244208163958818048,熊猫军团,0,5.0
282,244663617214218240,244224570247349504,恒隆广场,0,5.0
283,244637602890907648,244216404138788096,后宫三千佳丽,0,5.0
284,244216814299774976,244020274868258048,币核之光,0,5.0
285,244773163316281344,244041490656134400,老李公会,0,5.0
286,244271932017737728,244208163958818048,熊猫军团,0,5.0
287,244209728954302464,244020274868258048,币核之光,0,5.0
288,244576515260678144,244567864114414848,瑞兽,0,5.0
289,244621527323246592,244575744196609280,来聚丰,0,5.0
290,244211029708636160,244020274868258048,币核之光,0,5.0
291,244783940110647296,244216404138788096,后宫三千佳丽,0,5.0
292,244221703608336384,244020274868258048,币核之光,0,5.0
293,244504781924859904,244020274868258048,币核之光,0,5.0
294,244650717867147264,244208163958818048,熊猫军团,0,5.0
295,244230582454976512,244201533192013056,达摩院,0,5.0
296,244511912401043456,244020274868258048,币核之光,0,5.0
297,244491935501516800,244020274868258048,币核之光,0,5.0
298,244721766768050176,244201533192013056,达摩院,0,5.0
299,244807994586693632,244798356847854848,嗯嗯哟,0,5.0
300,243983722096099328,243127297052509440,华龙娱乐,0,5.0
301,244508374321070080,244208163958818048,熊猫军团,0,5.0
302,244845726914576384,244020274868258048,币核之光,0,5.0
303,244503000536842240,244201533192013056,达摩院,0,5.0
304,244533584403365888,244208163958818048,熊猫军团,0,5.0
305,244569636727947264,244216404138788096,后宫三千佳丽,0,5.0
306,244575608804474880,244575744196609280,来聚丰,1,5.0
307,244576387409903616,244201533192013056,达摩院,0,5.0
308,244265591958142976,244020274868258048,币核之光,0,5.0
309,244528960283869184,243841804649366784,将夜,0,5.0
310,244663318244229120,244216404138788096,后宫三千佳丽,0,5.0
311,244232542570676224,244201533192013056,达摩院,0,5.0
312,244789241912229888,244216404138788096,后宫三千佳丽,0,5.0
313,244507905574043648,244020274868258048,币核之光,0,5.0
314,244726846187634688,244727159309206784,柚子,1,5.0
315,244470007730536448,244208163958818048,熊猫军团,0,5.0
316,244626867829866496,244216404138788096,后宫三千佳丽,0,5.0
317,244821469719429120,244575744196609280,来聚丰,0,5.0
318,244506709543092224,244020274868258048,币核之光,0,5.0
319,244560417958133760,244201533192013056,达摩院,0,5.0
320,244590649729613824,244224570247349504,恒隆广场,0,5.0
321,244673942986686464,244216404138788096,后宫三千佳丽,0,5.0
322,244520014890401792,244020274868258048,币核之光,0,5.0
323,244852611940089856,244575744196609280,来聚丰,0,5.0
324,244280346454261760,244020274868258048,币核之光,0,5.0
